id,domain,requirement,priority,acceptance_evidence,owner,status
CON-014,CON,The One Receipt program SHALL avoid requiring public content disclosure.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-015,CON,The One Receipt program SHALL provide multilingual low-bandwidth channel.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-016,CON,The One Receipt program SHALL measure challenge completion time.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-017,CON,The One Receipt program SHALL measure remedy completion rate.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-018,CON,The One Receipt program SHALL publish aggregate unresolved cases.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-019,CON,The One Receipt program SHALL allow Public Interest Council intervention.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-020,CON,The One Receipt program SHALL test deceptive or inaccessible challenge paths.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-001,ARC,The One Receipt program SHALL separate issuer verifier log witness registry and assessor services.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-002,ARC,The One Receipt program SHALL publish context and container diagrams.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-003,ARC,The One Receipt program SHALL define trust boundaries.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-004,ARC,The One Receipt program SHALL use zero-trust service identities.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-005,ARC,The One Receipt program SHALL expose versioned APIs.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-006,ARC,The One Receipt program SHALL support event-driven adapters.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-007,ARC,The One Receipt program SHALL support offline verifier.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-008,ARC,The One Receipt program SHALL support multi-tenant isolation.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-009,ARC,The One Receipt program SHALL support regional deployment.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-010,ARC,The One Receipt program SHALL support sovereign deployment.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-011,ARC,The One Receipt program SHALL support pluggable key management.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-012,ARC,The One Receipt program SHALL support pluggable transparency services.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-013,ARC,The One Receipt program SHALL support evidence vault abstraction.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-014,ARC,The One Receipt program SHALL support registry replication.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-015,ARC,The One Receipt program SHALL design for horizontal scale.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-016,ARC,The One Receipt program SHALL define availability objectives by component.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-017,ARC,The One Receipt program SHALL define disaster recovery objectives.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-018,ARC,The One Receipt program SHALL maintain architecture decision records.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-019,ARC,The One Receipt program SHALL threat-model every boundary.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
ARC-020,ARC,The One Receipt program SHALL avoid mandatory dependence on one vendor.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-001,SDK,The One Receipt program SHALL ship maintained Python SDK.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-002,SDK,The One Receipt program SHALL ship maintained TypeScript SDK.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-003,SDK,The One Receipt program SHALL publish language-neutral test vectors.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-004,SDK,The One Receipt program SHALL provide CLI emitter.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-005,SDK,The One Receipt program SHALL provide CLI offline verifier.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-006,SDK,The One Receipt program SHALL provide browser verification library.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-007,SDK,The One Receipt program SHALL provide SCITT adapter.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-008,SDK,The One Receipt program SHALL provide OVERT mapping adapter.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-009,SDK,The One Receipt program SHALL provide OpenTelemetry adapter.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-010,SDK,The One Receipt program SHALL provide C2PA pointer adapter.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-011,SDK,The One Receipt program SHALL provide verifiable-credential mandate adapter.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-012,SDK,The One Receipt program SHALL provide agent-protocol adapters.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-013,SDK,The One Receipt program SHALL provide webhook integration.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-014,SDK,The One Receipt program SHALL provide key-management examples.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-015,SDK,The One Receipt program SHALL provide transparency sandbox.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-016,SDK,The One Receipt program SHALL provide redacted evidence bundle exporter.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-017,SDK,The One Receipt program SHALL publish migration guides.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-018,SDK,The One Receipt program SHALL use semantic versioning.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-019,SDK,The One Receipt program SHALL generate API documentation.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SDK-020,SDK,The One Receipt program SHALL maintain implementation matrix.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-001,SEC,The One Receipt program SHALL adopt secure development lifecycle.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-002,SEC,The One Receipt program SHALL maintain security policy and private reporting.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-003,SEC,The One Receipt program SHALL perform threat modeling.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-004,SEC,The One Receipt program SHALL enable branch protection.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-005,SEC,The One Receipt program SHALL require two-person review.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-006,SEC,The One Receipt program SHALL require signed releases.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-007,SEC,The One Receipt program SHALL generate software bill of materials.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-008,SEC,The One Receipt program SHALL generate build provenance.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-009,SEC,The One Receipt program SHALL pin CI dependencies.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-010,SEC,The One Receipt program SHALL use least-privilege CI tokens.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-011,SEC,The One Receipt program SHALL enable secret scanning.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-012,SEC,The One Receipt program SHALL enable dependency updates.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-013,SEC,The One Receipt program SHALL run static analysis.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-014,SEC,The One Receipt program SHALL run dependency and vulnerability scanning.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-015,SEC,The One Receipt program SHALL fuzz parsers and canonicalization.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-016,SEC,The One Receipt program SHALL perform annual independent penetration test.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-017,SEC,The One Receipt program SHALL operate coordinated vulnerability disclosure.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-018,SEC,The One Receipt program SHALL publish security advisories.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-019,SEC,The One Receipt program SHALL target OpenSSF best-practices badge.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
SEC-020,SEC,The One Receipt program SHALL monitor OpenSSF Scorecard.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-001,DEV,The One Receipt program SHALL maintain public roadmap.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-002,DEV,The One Receipt program SHALL use issue and pull-request templates.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-003,DEV,The One Receipt program SHALL define code ownership.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-004,DEV,The One Receipt program SHALL use trunk-based protected development.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-005,DEV,The One Receipt program SHALL require acceptance criteria.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-006,DEV,The One Receipt program SHALL link code to requirement identifiers.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-007,DEV,The One Receipt program SHALL automate formatting linting and type checks.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-008,DEV,The One Receipt program SHALL automate unit and integration tests.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-009,DEV,The One Receipt program SHALL maintain reproducible local environment.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-010,DEV,The One Receipt program SHALL provide contributor setup under thirty minutes.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-011,DEV,The One Receipt program SHALL publish coding standards.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-012,DEV,The One Receipt program SHALL review dependencies and licenses.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-013,DEV,The One Receipt program SHALL maintain changelog.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-014,DEV,The One Receipt program SHALL publish release candidates.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-015,DEV,The One Receipt program SHALL use deprecation periods.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-016,DEV,The One Receipt program SHALL support long-term stable core release.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-017,DEV,The One Receipt program SHALL maintain rollback procedure.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-018,DEV,The One Receipt program SHALL triage issues weekly.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-019,DEV,The One Receipt program SHALL track technical debt.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
DEV-020,DEV,The One Receipt program SHALL publish maintainer health metrics.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-001,TST,The One Receipt program SHALL test all schema requirements.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-002,TST,The One Receipt program SHALL test canonicalization edge cases.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-003,TST,The One Receipt program SHALL test signature success and failure.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-004,TST,The One Receipt program SHALL test replay and substitution.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-005,TST,The One Receipt program SHALL test malformed and oversized inputs.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-006,TST,The One Receipt program SHALL test graph cycles and missing parents.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-007,TST,The One Receipt program SHALL test key rotation and revocation.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-008,TST,The One Receipt program SHALL test log inclusion and consistency.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-009,TST,The One Receipt program SHALL test split-view detection.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-010,TST,The One Receipt program SHALL test privacy metadata leakage.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-011,TST,The One Receipt program SHALL test disclosure authorization.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-012,TST,The One Receipt program SHALL test contestability end to end.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-013,TST,The One Receipt program SHALL test accessibility with assistive technology.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-014,TST,The One Receipt program SHALL test localization and right-to-left layouts.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-015,TST,The One Receipt program SHALL test low-bandwidth and offline paths.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-016,TST,The One Receipt program SHALL require two independent implementations.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-017,TST,The One Receipt program SHALL run interoperability events.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-018,TST,The One Receipt program SHALL publish negative results.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-019,TST,The One Receipt program SHALL pre-register high-stakes pilot criteria.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
TST-020,TST,The One Receipt program SHALL maintain conformance claim suspension tests.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-001,PMO,The One Receipt program SHALL define portfolio workstreams.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-002,PMO,The One Receipt program SHALL appoint accountable product and program leads.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-003,PMO,The One Receipt program SHALL maintain integrated roadmap.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-004,PMO,The One Receipt program SHALL maintain RAID log.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-005,PMO,The One Receipt program SHALL maintain decision log.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-006,PMO,The One Receipt program SHALL define stage gates.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-007,PMO,The One Receipt program SHALL plan quarterly increments.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-008,PMO,The One Receipt program SHALL run two-week delivery cadence.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-009,PMO,The One Receipt program SHALL publish monthly status.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-010,PMO,The One Receipt program SHALL manage scope change formally.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-011,PMO,The One Receipt program SHALL track dependencies across standards venues.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-012,PMO,The One Receipt program SHALL maintain resource and capacity plan.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-013,PMO,The One Receipt program SHALL maintain budget forecast.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-014,PMO,The One Receipt program SHALL define procurement and vendor controls.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-015,PMO,The One Receipt program SHALL manage pilots with data agreements.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-016,PMO,The One Receipt program SHALL maintain quality management plan.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-017,PMO,The One Receipt program SHALL maintain communications plan.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-018,PMO,The One Receipt program SHALL conduct retrospectives.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-019,PMO,The One Receipt program SHALL archive evidence of decisions.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PMO-020,PMO,The One Receipt program SHALL prepare operational handoff.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-001,MKT,The One Receipt program SHALL adopt clear category narrative.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-002,MKT,The One Receipt program SHALL use bounded evidence claims.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-003,MKT,The One Receipt program SHALL publish messaging guide.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-004,MKT,The One Receipt program SHALL prohibit safety compliance and certification overclaims.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-005,MKT,The One Receipt program SHALL maintain public website and documentation portal.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-006,MKT,The One Receipt program SHALL publish implementation case studies including failures.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-007,MKT,The One Receipt program SHALL run practitioner community program.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-008,MKT,The One Receipt program SHALL launch regional chapters with local authority.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-009,MKT,The One Receipt program SHALL provide translation glossary.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-010,MKT,The One Receipt program SHALL offer free practitioner fundamentals.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-011,MKT,The One Receipt program SHALL develop advanced maintainer and assessor curricula.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-012,MKT,The One Receipt program SHALL host interoperability demonstrations.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-013,MKT,The One Receipt program SHALL publish buyer procurement toolkit.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-014,MKT,The One Receipt program SHALL publish analyst and media FAQ.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-015,MKT,The One Receipt program SHALL operate transparent launch readiness checklist.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-016,MKT,The One Receipt program SHALL maintain crisis communications plan.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-017,MKT,The One Receipt program SHALL measure adoption without vanity-only metrics.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-018,MKT,The One Receipt program SHALL recognize contributors equitably.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-019,MKT,The One Receipt program SHALL avoid founding logo wall before balanced cohort.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
MKT-020,MKT,The One Receipt program SHALL publish annual global community report.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
